,Close,High,Low,Open,Volume
2019-06-27,40298.50781,40385.17127,39648.53188,39865.19052,12603534
2019-06-28,40731.82031,40731.82031,40471.82997,40731.82031,12949231
2019-07-01,40385.16797,41078.47557,40081.84589,41035.14385,11383522
2019-07-02,40081.85547,40645.16803,39735.20158,40038.52373,8463073
2019-07-03,39345.21484,40168.5178,39171.88791,39648.53698,9669368
2019-07-04,39865.1875,40038.5144,39215.21162,39215.21162,6365573
2019-07-05,39561.87109,39821.86148,39215.21724,39821.86148,7235395
2019-07-08,38478.58203,38825.23592,38435.25029,38781.90419,7823843
2019-07-09,39085.22656,39388.54872,38738.57267,38868.56788,7646421
2019-07-10,39475.21094,39995.19176,39431.8792,39475.21094,9253930
2019-07-11,40038.51563,40341.83771,39995.1839,40168.51081,10989751
2019-07-12,40125.17969,40211.84314,39691.86241,40168.51142,5245804
2019-07-15,40255.17188,40428.49877,39648.52773,39821.85463,4717226
2019-07-16,40601.82813,40601.82813,40125.17913,40255.17431,7407824
2019-07-17,39908.52344,40168.51382,39821.85998,39995.1869,5216602
2019-07-18,39951.85156,40255.17365,39561.86603,40255.17365,5143554
2019-07-19,40558.50391,40688.49911,40385.17697,40428.5087,8819393
2019-07-22,40905.15234,40991.8158,40385.17159,40558.49851,9009109
2019-07-23,40991.8125,41208.47113,40775.15387,41035.14423,9061381
2019-07-24,40211.84766,40861.82364,40081.85246,40818.49191,8756522
2019-07-25,40905.15234,40905.15234,40385.17159,40861.82061,8408838
2019-07-26,40861.82031,40861.82031,40341.83957,40428.50302,7873886
2019-07-29,39951.85156,40775.15436,39865.18811,40558.49573,6856846
2019-07-30,40341.83594,40601.82629,40125.17731,40125.17731,5551014
2019-07-31,39301.89063,40385.18419,38998.56843,40038.53025,12872916
2019-08-01,39171.89453,39431.88498,38868.57234,38911.90408,7811181
2019-08-02,38955.23047,39431.87956,38391.9179,38608.57658,12151374
2019-08-05,38088.58594,38651.89836,37785.26387,38435.23973,14214086
2019-08-06,37698.61328,37958.60372,36831.97849,36831.97849,15083824
2019-08-07,37438.61719,38045.26145,37351.95372,37785.27105,10002533
2019-08-08,36961.96484,37698.60424,36961.96484,37481.94559,16926881
2019-08-09,37395.27344,37568.60031,37308.61,37481.93688,9685147
2019-08-12,37871.93359,38131.92398,37741.9384,38131.92398,8466169
2019-08-13,37265.27734,37698.59452,37221.94563,37698.59452,7276979
2019-08-14,37871.93359,38348.58264,37698.60667,38045.26052,8750135
2019-08-16,38045.26172,38045.26172,37525.28092,37958.59825,9528115
