Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2018-07-10,38846.62890625,39056.3839219425,38678.82489369601,38762.726899973,10528665
2018-07-11,38594.921875,38972.48089334239,38091.50985054348,38930.529891304344,11224077
2018-07-12,38175.4140625,38804.67912946428,38133.46305803571,38511.022098214286,11828104
2018-07-13,39014.43359375,39014.43359375,38385.16853578629,38427.119539650535,11543389
2018-07-16,38636.8671875,39266.132125407166,38594.916191639524,39266.132125407166,7678719
2018-07-17,38469.0703125,38762.72733778626,38259.315294438384,38720.776334173934,8892953
2018-07-18,39056.37890625,39601.74187701396,38972.47691074785,39182.231899503226,10952645
2018-07-19,39350.03515625,39601.741138059704,39098.329174440296,39475.88814715485,9880128
2018-07-20,39811.50390625,39937.35692175975,39182.238828701265,39433.94485972076,10474547
2018-07-23,39014.43359375,39601.747647849465,38720.77656670027,39517.84564012097,10823782
2018-07-24,38720.76953125,39098.32849742687,38552.9655462825,38888.5735162175,8261363
2018-07-25,38720.76953125,39056.377501184994,38511.01455004063,38804.67152373375,7222471
2018-07-26,39350.03515625,39433.93715018657,38594.917210820895,38678.81920475746,7374946
2018-07-27,39350.03515625,39433.93715018657,38972.47618353545,38972.47618353545,4762460
2018-07-30,39014.43359375,39266.139616935485,38888.58058215726,39056.38459761425,5723035
2018-07-31,38804.67578125,38972.47978462838,38594.92077702703,38762.724780405406,8033607
2018-08-01,39056.37890625,39308.084892756444,38636.86892873926,38636.86892873926,7484499
2018-08-02,38217.359375,39266.134330406145,38175.40837678375,39056.379339324914,8560924
2018-08-03,38385.1640625,38511.01705942623,38133.45806864754,38469.06606045082,8274944
2018-08-06,38427.11328125,38720.770260473524,38385.162284218066,38720.770260473524,6771979
2018-08-07,39182.2421875,39224.19319626606,38511.02604724304,38846.63411737152,9058174
2018-08-08,39266.12890625,39433.93287593483,39056.37394414397,39433.93287593483,6429338
2018-08-09,39350.03515625,39475.88814715485,38972.47618353545,39433.93715018657,12010886
2018-08-10,38091.5078125,38930.52780837005,37630.04681477148,38720.77280940253,16670643
2018-08-13,37797.859375,37839.810384295226,37462.25130063818,37713.95735640955,9803831
2018-08-14,37881.75390625,38091.50891126799,37630.047900228405,37630.047900228405,6409259
2018-08-16,37126.62890625,37462.23685116525,36665.16798199153,36749.06996822034,10088229
2018-08-17,37000.77734375,37252.48331207483,36958.826349029194,36958.826349029194,6808747
2018-08-20,36791.02734375,37084.68434649373,36497.370341006266,36497.370341006266,7289124
2018-08-21,37588.08984375,37671.99183000837,36665.16799490792,36665.16799490792,9520270
2018-08-22,38678.8203125,38762.722308839475,37671.99635642624,37881.75134727494,11641656
2018-08-23,38762.72265625,38762.72265625,38343.21267079275,38720.771657704274,6730918
2018-08-24,38720.76953125,38930.52451245937,38217.35757634751,38511.01455004063,6582535
2018-08-27,38846.62890625,39056.3839219425,38594.92288741901,38678.82489369601,5263782
2018-08-28,39056.37890625,39391.986888258594,38846.62391749463,39266.13389500537,7365976
2018-08-29,39266.12890625,39266.12890625,38930.52096688034,39224.1779138288,5572374
2018-08-30,39979.29296875,40230.99890559418,39182.22416874344,39391.97911611359,12193231
2018-08-31,40650.5234375,40650.5234375,39433.944304695564,39517.84631385449,13577454
2018-09-03,39811.50390625,40524.67099413856,39685.65089074025,40440.768983798735,8595084
2018-09-04,39979.29296875,40105.14593717209,39601.73406348374,39895.39098980194,6791255
2018-09-05,39098.32421875,39811.49107681733,38930.52025214592,39685.63810186427,9139998
2018-09-06,38678.8203125,38930.52630151844,38427.11432348156,38762.722308839475,9040553
2018-09-07,37672.0,37923.70601336303,37252.489977728284,37336.39198218263,18285508
2018-09-10,38175.4140625,38217.36506696428,37755.904017857145,38133.46305803571,9979838
2018-09-11,37797.859375,38511.02653301887,37797.859375,38217.369467952274,9865790
2018-09-12,37378.33203125,37839.79292052469,37336.38104131594,37671.98896078844,12995269
2018-09-13,36958.828125,37546.14207931328,36916.87712826334,37378.33809236663,18277942
2018-09-14,38469.0703125,38469.0703125,37672.00124386587,37755.90325109051,12446344
2018-09-17,37881.75390625,38427.11691929679,37671.99890123201,38217.361914278794,8123384
2018-09-18,38175.4140625,38511.022098214286,37504.19799107143,37713.95301339286,9987090
2018-09-19,38720.76953125,38762.720527491874,38343.21056507313,38594.91654252438,9367454
2018-09-20,39643.6953125,39937.352314814816,38930.52830687831,39308.0873098545,13536966
2018-09-21,39769.546875,39895.39987143988,39056.379895174054,39056.379895174054,14476906
2018-09-27,40153.3203125,40153.3203125,39265.72060032895,39688.387129934206,15804586
2018-09-28,39265.73046875,39941.99708608046,39138.93047800054,39941.99708608046,11270515
2018-10-01,39181.203125,39561.603155339806,38716.26975458468,39265.73646507551,6354983
2018-10-02,38631.73046875,39477.06373940099,38631.73046875,39265.73042173824,6607188
2018-10-04,37786.3984375,38547.19840604027,37786.3984375,38166.79842177013,11865327
2018-10-05,37786.3984375,38462.66507620246,37659.598442743285,37870.9317673378,10544165
2018-10-08,37997.73046875,38209.06378615128,37363.73051654616,37363.73051654616,6759464
2018-10-10,38293.59765625,38462.66431256898,37617.33103097406,38251.33099217025,10341349
2018-10-11,36433.859375,37744.12577943735,36433.859375,37194.65922273781,19324537
2018-10-12,37194.65625,37744.12276278409,36518.38977272727,36518.38977272727,12640906
2018-10-15,37025.58984375,37236.92311911387,36645.18994809504,37236.92311911387,7434522
